chunks,begin,end,sentence_id,entities
tissue,68719,68724,393,Internal_organ_or_component
volume reduction,68730,68745,393,Procedure
diseased,68759,68766,393,Modifier
emphysematous segments,68768,68789,393,Symptom
lung,68893,68896,394,Internal_organ_or_component
upper,68952,68956,394,Direction
lobe-predominant emphysema,68958,68983,394,Disease_Syndrome_Disorder
researchers,69052,69062,395,Employment
upper,69133,69137,396,Direction
lobe-predominant emphysema,69139,69164,396,Disease_Syndrome_Disorder
FEV1,69167,69170,396,Test
DLCO,69248,69251,396,Test
greater than or equal to 20 %,69253,69281,396,Test_Result
BTVA treatment,69318,69331,396,Procedure
emphysema,69438,69446,397,Disease_Syndrome_Disorder
ipsilateral,69515,69525,397,Direction
lung lobes,69527,69536,397,Internal_organ_or_component
sedation,69582,69589,398,Drug_Ingredient
general,69611,69617,398,Route
anesthesia,69619,69628,398,Drug_Ingredient
BTVA catheter,69657,69669,399,Medical_Device
occlusion balloon,69714,69730,399,Medical_Device
localized,69923,69931,400,Modifier
inflammatory reaction,69933,69953,400,Symptom
National Institute,70251,70268,402,Clinical_Dept
“Bronchoscopic thermal vapor ablation,70341,70377,402,Procedure
bronchoscopic thermal vapor ablation,70506,70541,402,Procedure
upper-lobe emphysema,70547,70566,402,Disease_Syndrome_Disorder
inadequate in quantity and quality,70571,70604,402,Symptom
emphysema,70961,70969,406,Disease_Syndrome_Disorder
BLVR,71020,71023,407,Drug_Ingredient
BTVA,71035,71038,407,Medical_Device
researchers,71336,71346,410,Employment
endobronchial valves,71446,71465,411,Medical_Device
coils,71468,71472,411,Medical_Device
lung,71478,71481,411,Internal_organ_or_component
vapor ablation,71548,71561,412,Procedure
lung volume reduction,71604,71624,412,Procedure
emphysema,71629,71637,412,Disease_Syndrome_Disorder
Pneumonitis,71756,71766,414,Disease_Syndrome_Disorder
infection,71772,71780,414,Disease_Syndrome_Disorder
right,71895,71899,415,Direction
BTVA,71915,71918,415,Test
emphysema,72050,72058,416,Disease_Syndrome_Disorder
COPD,72101,72104,417,Disease_Syndrome_Disorder
prevalent,72111,72119,417,Modifier
progressive,72125,72135,417,Modifier
disease,72137,72143,417,Disease_Syndrome_Disorder
BLVR techniques,72170,72184,418,Procedure
severe,72255,72260,418,Modifier
emphysema,72262,72270,418,Disease_Syndrome_Disorder
EBV/IBV achieve lung volume reduction,72273,72309,418,Procedure
lobar atelectasis,72314,72330,418,Disease_Syndrome_Disorder
lung volume reduction coils,72338,72364,419,Medical_Device
LVRCs,72367,72371,419,Internal_organ_or_component
BTVA,72378,72381,419,Internal_organ_or_component
tissue compression,72390,72407,419,Symptom
inflammatory processes,72441,72462,419,Symptom
implants,72526,72533,420,Medical_Device
BTVA,72593,72596,420,Internal_organ_or_component
Thoracoscopic Bullectomy,73095,73118,423,Procedure
Trans-Areolar Approach,73128,73149,423,Medical_Device
Primary,73171,73177,423,Modifier
Spontaneous Pneumothorax,73179,73202,423,Disease_Syndrome_Disorder
pneumothorax,73265,73276,424,Disease_Syndrome_Disorder
video-assisted thoracoscopic surgery,73310,73345,424,Procedure
VATS,73348,73351,424,Procedure
apical blebectomy/bullectomy,73354,73381,424,Procedure
pleurodesis,73403,73413,424,Procedure
surgeons,73578,73585,425,Employment
pleurodesis,73595,73605,425,Procedure
VATS-directed,73681,73693,425,Drug_BrandName
insufflation,73695,73706,425,Route
talc,73711,73714,425,Drug_Ingredient
bullectomy,73730,73739,425,Procedure
bullectomy,73883,73892,425,Procedure
conventional tri-portal VATS,73940,73967,426,Procedure
primary,74028,74034,426,Modifier
spontaneous pneumothorax,74036,74059,426,Disease_Syndrome_Disorder
researchers,74072,74082,427,Employment
trans-areolar pulmonary bullectomy,74096,74129,427,Procedure
researchers,74165,74175,428,Employment
January 2013,74279,74290,429,Date
December 2014,74295,74307,429,Date
112,74321,74323,429,Age
male,74325,74328,429,Gender
trans-areolar pulmonary bullectomy,74358,74391,429,Procedure
thoracoscope,74410,74421,429,Medical_Device
26.5 mins,74501,74509,430,Duration
camera port,74632,74642,431,Medical_Device
discharged,74807,74816,432,Admission_Discharge
discharged,74873,74882,432,Admission_Discharge
POD 4 or 5,74887,74896,432,RelativeDate
At post-operative month,74942,74964,434,RelativeDate
obvious,74988,74994,434,Modifier
surgical,74996,75003,434,Modifier
scar,75005,75008,434,Symptom
chest wall,75017,75026,434,External_body_part_or_region
post-operative,75058,75071,434,Modifier
pain,75073,75076,434,Symptom
trans-areolar pulmonary bullectomy,75228,75261,436,Procedure
PSP,75314,75316,436,Test
pulmonary bullae,75328,75343,436,Disease_Syndrome_Disorder
areola,75378,75383,437,External_body_part_or_region
common disease,75561,75574,439,Disease_Syndrome_Disorder
men,75609,75611,439,Gender
thoracoscopic,75637,75649,440,Procedure
thoracoscopic pulmonary bullectomy,75760,75793,441,Procedure
thoracoscopic trans-areolar pulmonary bullectomy,75895,75942,442,Procedure
September 2017,75994,76007,442,Date
March 2018,76013,76022,442,Date
researchers,76053,76063,443,Employment
recurrence,76133,76142,443,Modifier
wound-related,76145,76157,443,Modifier
pain,76159,76162,443,Symptom
surgical,76205,76212,443,Modifier
wound,76214,76218,443,Symptom
18.9 ± 4.2 years,76247,76262,444,Age
affected on the right side and 7 patients were affected on the left side,76281,76352,444,Symptom
Bullae,76356,76361,445,Symptom
blebs,76367,76371,445,Symptom
lung,76416,76419,445,Internal_organ_or_component
ports,76519,76523,446,Medical_Device
thoracotomy,76542,76552,446,Procedure
39.8 ± 8.6 mins,76599,76613,447,Time
blood lost,76636,76645,448,Symptom
1 day,76744,76748,449,Duration
2 days,76804,76809,449,Duration
wound,76954,76958,451,Symptom
3.2,76973,76975,451,Test_Result
mean numerical rating scale,77003,77029,452,Test
NRS,77032,77034,452,Test
1.5 on POD 7,77047,77058,452,Test_Result
trans-areolar thoracoscopic pulmonary bullectomy,77128,77175,453,Procedure
treatment of PSP,77181,77196,453,Procedure
post-operative,77260,77273,453,Modifier
pain,77275,77278,453,Symptom
surgical treatment of PSP,77342,77366,454,Procedure
thoracoscopic trans-areolar pulmonary bullectomy,77581,77628,455,Procedure
trans-areolar,77717,77729,456,Internal_organ_or_component
Polyglycolic Acid Patch,77766,77788,457,Medical_Device
Pneumothorax,77810,77821,457,Disease_Syndrome_Disorder
Thoracoscopic Bullectomy,77826,77849,457,Procedure
polyglycolic acid,77890,77906,458,Drug_Ingredient
PGA,77909,77911,458,Medical_Device
patch,77914,77918,458,Medical_Device
pulmonary bullae resection,77937,77962,458,Procedure
PGA,78120,78122,459,Medical_Device
bullectomy,78128,78137,459,Procedure
PGA,78322,78324,461,Test
non-PGA,78333,78339,461,Medical_Device
bullectomy,78345,78354,461,Procedure
average post-operative,78432,78453,462,Modifier
air leakage,78455,78465,462,Symptom
prolonged,78468,78476,462,Modifier
air leaks,78478,78486,462,Symptom
drainage tube removal,78489,78509,462,Procedure
prolonged,78765,78773,464,Modifier
air leaks,78775,78783,464,Symptom
drainage tube removal,78840,78860,464,Procedure
average,78914,78920,465,Modifier
post-operative,78922,78935,465,Modifier
air leakage,78937,78947,465,Symptom
significant,79013,79023,465,Modifier
difference between the 2 groups,79025,79055,465,Symptom
pneumothorax,79106,79117,466,Disease_Syndrome_Disorder
thoracoscopic bullectomy,79122,79145,466,Procedure
PGA patch,79161,79169,466,Medical_Device
pneumothorax,79202,79213,466,Disease_Syndrome_Disorder
thoracic drainage,79239,79255,466,Symptom
prolonged,79261,79269,466,Modifier
post-operative,79271,79284,466,Modifier
air leakage,79286,79296,466,Symptom
PGA patch,79366,79374,468,Medical_Device
hospitalization,79397,79411,468,Admission_Discharge
average,79422,79428,468,Modifier
post-operative,79430,79443,468,Modifier
air leakage,79445,79455,468,Symptom
intra-operative,79620,79634,470,Modifier
bleeding volume,79636,79650,470,Symptom
calculating,80168,80178,474,Modifier
pneumothorax,80180,80191,474,Disease_Syndrome_Disorder
intra-operative,80433,80447,475,Modifier
bleeding volume,80449,80463,475,Symptom
pulmonary infection,80500,80518,475,Disease_Syndrome_Disorder
heart rate arrhythmia,80521,80541,475,Heart_Disease
pleural effusion,80544,80559,475,Disease_Syndrome_Disorder
